Symbol,Date,Close
BNS,3/3/2015,52.7
BNS,3/4/2015,52.47
BNS,3/5/2015,52.14
BNS,3/6/2015,51.19
BNS,3/9/2015,51.22
BNS,3/10/2015,49.4
BNS,3/11/2015,49.13
BNS,3/12/2015,49.73
BNS,3/13/2015,49.14
BNS,3/16/2015,49.91
BNS,3/17/2015,49.6
BNS,3/18/2015,50.23
BNS,3/19/2015,49.4
BNS,3/20/2015,50.43
BNS,3/23/2015,50.96
BNS,3/24/2015,51.14
BNS,3/25/2015,50.34
BNS,3/26/2015,50.25
BNS,3/27/2015,49.52
BNS,3/30/2015,49.41
BNS,3/31/2015,50.23
BNS,4/1/2015,50.3
BNS,4/2/2015,50.23
BNS,4/6/2015,50.59
BNS,4/7/2015,51.01
BNS,4/8/2015,50.75
BNS,4/9/2015,51.01
BNS,4/10/2015,51.22
BNS,4/13/2015,51.07
BNS,4/14/2015,51.75
BNS,4/15/2015,53.21
BNS,4/16/2015,53.95
BNS,4/17/2015,53.87
BNS,4/20/2015,54.18
BNS,4/21/2015,54.2
BNS,4/22/2015,54.41
BNS,4/23/2015,54.98
BNS,4/24/2015,54.97
BNS,4/27/2015,55.31
BNS,4/28/2015,56
BNS,4/29/2015,56.03
BNS,4/30/2015,55.17
BNS,5/1/2015,54.99
BNS,5/4/2015,55.52
BNS,5/5/2015,55.06
BNS,5/6/2015,54.74
BNS,5/7/2015,53.96
BNS,5/8/2015,54.1
BNS,5/11/2015,54.15
BNS,5/12/2015,54.17
BNS,5/13/2015,54.37
BNS,5/14/2015,54.32
BNS,5/15/2015,54.07
BNS,5/18/2015,53.59
BNS,5/19/2015,53.37
BNS,5/20/2015,52.83
BNS,5/21/2015,53.22
BNS,5/22/2015,52.52
BNS,5/26/2015,51.66
BNS,5/27/2015,51.74
BNS,5/28/2015,51.96
BNS,5/29/2015,52.67
BNS,6/1/2015,52.56
BNS,6/2/2015,53.33
BNS,6/3/2015,53.59
BNS,6/4/2015,53.05
BNS,6/5/2015,53.32
BNS,6/8/2015,52.61
BNS,6/9/2015,53.54
BNS,6/10/2015,54.05
BNS,6/11/2015,53.84
BNS,6/12/2015,53.39
BNS,6/15/2015,53.57
BNS,6/16/2015,53.46
BNS,6/17/2015,53.32
BNS,6/18/2015,53.23
BNS,6/19/2015,52.44
BNS,6/22/2015,52.87
BNS,6/23/2015,53.47
BNS,6/24/2015,53.49
BNS,6/25/2015,53.95
BNS,6/26/2015,54.07
BNS,6/29/2015,52.12
BNS,6/30/2015,51.63
BNS,7/1/2015,51.71
BNS,7/2/2015,50.52
BNS,7/6/2015,50.54
BNS,7/7/2015,50.53
BNS,7/8/2015,49.92
BNS,7/9/2015,49.58
BNS,7/10/2015,50.14
BNS,7/13/2015,50.21
BNS,7/14/2015,50.08
BNS,7/15/2015,49.6
BNS,7/16/2015,50.08
BNS,7/17/2015,49.55
BNS,7/20/2015,49.02
BNS,7/21/2015,48.82
BNS,7/22/2015,48.32
BNS,7/23/2015,48.02
BNS,7/24/2015,47.79
BNS,7/27/2015,46.86
BNS,7/28/2015,47.5
BNS,7/29/2015,48.89
BNS,7/30/2015,49.08
BNS,7/31/2015,49.11
BNS,8/3/2015,48.4
BNS,8/4/2015,48.18
BNS,8/5/2015,48.4
BNS,8/6/2015,47.83
BNS,8/7/2015,47.58
BNS,8/10/2015,48.48
BNS,8/11/2015,47.52
BNS,8/12/2015,47.7
BNS,8/13/2015,46.75
BNS,8/14/2015,46.94
BNS,8/17/2015,46.73
BNS,8/18/2015,46.45
BNS,8/19/2015,45.71
BNS,8/20/2015,44.79
BNS,8/21/2015,43.71
BNS,8/24/2015,42.2
BNS,8/25/2015,42.59
BNS,8/26/2015,43.96
BNS,8/27/2015,45.34
BNS,8/28/2015,45.13
BNS,8/31/2015,45.64
BNS,9/1/2015,44.04
BNS,9/2/2015,44
BNS,9/3/2015,44.75
BNS,9/4/2015,44.08
BNS,9/8/2015,45.05
BNS,9/9/2015,44.48
BNS,9/10/2015,44.38
BNS,9/11/2015,43.85
BNS,9/14/2015,43.91
BNS,9/15/2015,43.97
BNS,9/16/2015,45.12
BNS,9/17/2015,44.89
BNS,9/18/2015,44.03
BNS,9/21/2015,44.64
BNS,9/22/2015,43.82
BNS,9/23/2015,43.08
BNS,9/24/2015,43.02
BNS,9/25/2015,43.39
BNS,9/28/2015,42.83
BNS,9/29/2015,43.17
BNS,9/30/2015,44.08
BNS,10/1/2015,44.55
BNS,10/2/2015,43.48
BNS,10/5/2015,44.66
BNS,10/6/2015,45.59
BNS,10/7/2015,46.14
BNS,10/8/2015,46.6
BNS,10/9/2015,46.58
BNS,10/12/2015,46.22
BNS,10/13/2015,46.29
BNS,10/14/2015,46.17
BNS,10/15/2015,46.51
BNS,10/16/2015,46.67
BNS,10/19/2015,46.38
BNS,10/20/2015,46.78
BNS,10/21/2015,46.14
BNS,10/22/2015,47.04
BNS,10/23/2015,47.09
BNS,10/26/2015,46.94
BNS,10/27/2015,46.92
BNS,10/28/2015,47.83
BNS,10/29/2015,47.87
BNS,10/30/2015,46.98
BNS,11/2/2015,47.23
BNS,11/3/2015,47.45
BNS,11/4/2015,46.81
BNS,11/5/2015,46.71
BNS,11/6/2015,46.38
BNS,11/9/2015,45.93
BNS,11/10/2015,45.77
BNS,11/11/2015,45.89
BNS,11/12/2015,45.04
BNS,11/13/2015,44.3
BNS,11/16/2015,45.09
BNS,11/17/2015,45.48
BNS,11/18/2015,45.56
BNS,11/19/2015,45.72
BNS,11/20/2015,45.46
BNS,11/23/2015,44.98
BNS,11/24/2015,45.37
BNS,11/25/2015,45.22
BNS,11/27/2015,45.44
BNS,11/30/2015,45.55
BNS,12/1/2015,45.51
BNS,12/2/2015,44.86
BNS,12/3/2015,44.43
BNS,12/4/2015,44.44
BNS,12/7/2015,42.93
BNS,12/8/2015,42.29
BNS,12/9/2015,42.44
BNS,12/10/2015,42.03
BNS,12/11/2015,40.78
BNS,12/14/2015,40.5
BNS,12/15/2015,41.15
BNS,12/16/2015,41.48
BNS,12/17/2015,40.97
BNS,12/18/2015,40.32
BNS,12/21/2015,40.3
BNS,12/22/2015,40.45
BNS,12/23/2015,41.45
BNS,12/24/2015,41.83
BNS,12/28/2015,41.37
BNS,12/29/2015,42.08
BNS,12/30/2015,41.54
BNS,12/31/2015,40.44
BNS,1/4/2016,39.86
BNS,1/5/2016,40.14
BNS,1/6/2016,39.17
BNS,1/7/2016,38.53
BNS,1/8/2016,38.55
BNS,1/11/2016,38.07
BNS,1/12/2016,37.91
BNS,1/13/2016,36.94
BNS,1/14/2016,37.32
BNS,1/15/2016,36
BNS,1/19/2016,36.55
BNS,1/20/2016,35.8
BNS,1/21/2016,36.91
BNS,1/22/2016,38.45
BNS,1/25/2016,37.08
BNS,1/26/2016,37.82
BNS,1/27/2016,38.47
BNS,1/28/2016,40.15
BNS,1/29/2016,40.84
BNS,2/1/2016,40.45
BNS,2/2/2016,39.59
BNS,2/3/2016,40.5
BNS,2/4/2016,41.34
BNS,2/5/2016,40.86
BNS,2/8/2016,39.98
BNS,2/9/2016,38.99
BNS,2/10/2016,37.78
BNS,2/11/2016,37.36
BNS,2/12/2016,38.98
BNS,2/16/2016,39.66
BNS,2/17/2016,41.02
BNS,2/18/2016,40.97
BNS,2/19/2016,40.66
BNS,2/22/2016,40.52
BNS,2/23/2016,39.8
BNS,2/24/2016,39.13
BNS,2/25/2016,39.55
BNS,2/26/2016,39.96
BNS,2/29/2016,40
BNS,3/1/2016,43.13
BNS,3/2/2016,43.02
BNS,3/3/2016,43.74
BNS,3/4/2016,44.66
BNS,3/7/2016,45.61
BNS,3/8/2016,45.65
BNS,3/9/2016,46.64
BNS,3/10/2016,46.15
BNS,3/11/2016,47.08
BNS,3/14/2016,46.78
BNS,3/15/2016,46.66
BNS,3/16/2016,47.58
BNS,3/17/2016,49.17
BNS,3/18/2016,48.73
BNS,3/21/2016,48.64
BNS,3/22/2016,48.68
BNS,3/23/2016,47.86
BNS,3/24/2016,47.06
BNS,3/28/2016,47.7
BNS,3/29/2016,48.39
BNS,3/30/2016,49.02
BNS,3/31/2016,48.86
BNS,4/1/2016,48.19
BNS,4/4/2016,47.76
BNS,4/5/2016,47.11
BNS,4/6/2016,47.32
BNS,4/7/2016,46.63
BNS,4/8/2016,47.6
BNS,4/11/2016,47.69
BNS,4/12/2016,49.05
BNS,4/13/2016,49.6
BNS,4/14/2016,49.69
BNS,4/15/2016,49.51
BNS,4/18/2016,49.75
BNS,4/19/2016,50.83
BNS,4/20/2016,51.59
BNS,4/21/2016,51.08
BNS,4/22/2016,51.55
BNS,4/25/2016,51.19
BNS,4/26/2016,51.63
BNS,4/27/2016,51.86
BNS,4/28/2016,51.96
BNS,4/29/2016,52.45
BNS,5/2/2016,52
BNS,5/3/2016,49.88
BNS,5/4/2016,48.73
BNS,5/5/2016,48.1
BNS,5/6/2016,48.12
BNS,5/9/2016,47.62
BNS,5/10/2016,48.29
BNS,5/11/2016,48.85
BNS,5/12/2016,49.04
BNS,5/13/2016,48.42
BNS,5/16/2016,48.86
BNS,5/17/2016,48.67
BNS,5/18/2016,48.55
BNS,5/19/2016,47.88
BNS,5/20/2016,48.1
BNS,5/23/2016,48.29
BNS,5/24/2016,48.5
BNS,5/25/2016,49.67
BNS,5/26/2016,49.77
BNS,5/27/2016,49.89
BNS,5/31/2016,48.93
BNS,6/1/2016,49.69
BNS,6/2/2016,49.99
BNS,6/3/2016,50.56
BNS,6/6/2016,51.43
BNS,6/7/2016,52.54
BNS,6/8/2016,52.66
BNS,6/9/2016,52.14
BNS,6/10/2016,51.13
BNS,6/13/2016,50.77
BNS,6/14/2016,50.25
BNS,6/15/2016,49.72
BNS,6/16/2016,49.57
