Symbol,Date,Close
DRM,3/3/2015,19.66
DRM,3/4/2015,19.72
DRM,3/5/2015,19.98
DRM,3/6/2015,18.7
DRM,3/9/2015,18.4
DRM,3/10/2015,18.3
DRM,3/11/2015,18.4
DRM,3/12/2015,18.66
DRM,3/13/2015,18.6
DRM,3/16/2015,18.6
DRM,3/17/2015,18.74
DRM,3/18/2015,19.2
DRM,3/19/2015,19.26
DRM,3/20/2015,19
DRM,3/23/2015,18.9
DRM,3/24/2015,18.9
DRM,3/25/2015,18.28
DRM,3/26/2015,18
DRM,3/27/2015,18.38
DRM,3/30/2015,18.38
DRM,3/31/2015,18.44
DRM,4/1/2015,17.96
DRM,4/2/2015,17.74
DRM,4/6/2015,17.44
DRM,4/7/2015,17.76
DRM,4/8/2015,18
DRM,4/9/2015,18.28
DRM,4/10/2015,18.48
DRM,4/13/2015,18.6
DRM,4/14/2015,18.88
DRM,4/15/2015,18.96
DRM,4/16/2015,19.14
DRM,4/17/2015,18.9
DRM,4/20/2015,18.54
DRM,4/21/2015,18.58
DRM,4/22/2015,18.22
DRM,4/23/2015,18.26
DRM,4/24/2015,18.48
DRM,4/27/2015,18.56
DRM,4/28/2015,18.66
DRM,4/29/2015,19.1
DRM,4/30/2015,18.94
DRM,5/1/2015,18.86
DRM,5/4/2015,18.76
DRM,5/5/2015,18.62
DRM,5/6/2015,17.94
DRM,5/7/2015,17.66
DRM,5/8/2015,18
DRM,5/11/2015,17.86
DRM,5/12/2015,17.86
DRM,5/13/2015,19.06
DRM,5/14/2015,19.56
DRM,5/15/2015,19.38
DRM,5/19/2015,19.68
DRM,5/20/2015,19.16
DRM,5/21/2015,18.9
DRM,5/22/2015,18.92
DRM,5/25/2015,18.7
DRM,5/26/2015,19.06
DRM,5/27/2015,19.2
DRM,5/28/2015,19.06
DRM,5/29/2015,19.44
DRM,6/1/2015,19.4
DRM,6/2/2015,19.36
DRM,6/3/2015,19.5
DRM,6/4/2015,19.44
DRM,6/5/2015,19.32
DRM,6/8/2015,18.84
DRM,6/9/2015,19.66
DRM,6/10/2015,20.14
DRM,6/11/2015,20.2
DRM,6/12/2015,19.44
DRM,6/15/2015,20.18
DRM,6/16/2015,20.06
DRM,6/17/2015,19.98
DRM,6/18/2015,20.12
DRM,6/19/2015,20.04
DRM,6/23/2015,19.6
DRM,6/24/2015,19.9
DRM,6/25/2015,19.72
DRM,6/26/2015,19.46
DRM,6/29/2015,18.94
DRM,6/30/2015,19.38
DRM,7/2/2015,19.34
DRM,7/3/2015,19.16
DRM,7/6/2015,19.32
DRM,7/7/2015,19.36
DRM,7/8/2015,19.46
DRM,7/9/2015,18.9
DRM,7/10/2015,18.76
DRM,7/13/2015,19.68
DRM,7/14/2015,20.36
DRM,7/15/2015,20.46
DRM,7/16/2015,21
DRM,7/17/2015,20.52
DRM,7/20/2015,20.6
DRM,7/21/2015,20.42
DRM,7/22/2015,20.08
DRM,7/23/2015,19.74
DRM,7/24/2015,19.66
DRM,7/27/2015,18.22
DRM,7/28/2015,18.7
DRM,7/29/2015,19.48
DRM,7/30/2015,19.38
DRM,7/31/2015,19.22
DRM,8/4/2015,19.36
DRM,8/5/2015,19.32
DRM,8/6/2015,19.46
DRM,8/7/2015,19.22
DRM,8/10/2015,19.1
DRM,8/11/2015,18.76
DRM,8/12/2015,18.54
DRM,8/13/2015,18.2
DRM,8/14/2015,18.44
DRM,8/17/2015,18.34
DRM,8/18/2015,17.96
DRM,8/19/2015,16.98
DRM,8/20/2015,16.58
DRM,8/21/2015,16.5
DRM,8/24/2015,16.04
DRM,8/25/2015,16.06
DRM,8/26/2015,16.28
DRM,8/27/2015,16.4
DRM,8/28/2015,16.4
DRM,8/31/2015,16.5
DRM,9/1/2015,15.98
DRM,9/2/2015,15.86
DRM,9/3/2015,15.56
DRM,9/4/2015,15.12
DRM,9/8/2015,15.36
DRM,9/9/2015,14.94
DRM,9/10/2015,14.88
DRM,9/11/2015,14.98
DRM,9/14/2015,14.2
DRM,9/15/2015,14.32
DRM,9/16/2015,14.52
DRM,9/17/2015,14.84
