Symbol,Date,Close
ALS,8/10/2017,52.5
ALS,8/11/2017,51.88
ALS,8/14/2017,51.88
ALS,8/16/2017,51.88
ALS,8/17/2017,51.88
ALS,8/18/2017,51.88
ALS,8/21/2017,51.88
ALS,8/23/2017,51.88
ALS,8/24/2017,51.88
ALS,8/29/2017,51.88
ALS,9/1/2017,49.38
ALS,9/4/2017,49.38
ALS,9/7/2017,50.63
ALS,9/12/2017,50.63
ALS,9/13/2017,50.63
ALS,9/21/2017,50
ALS,10/4/2017,41.88
ALS,10/5/2017,41.88
ALS,10/9/2017,41.88
ALS,10/11/2017,41.88
ALS,10/12/2017,42.5
ALS,10/13/2017,42.5
ALS,10/16/2017,42.5
ALS,10/18/2017,43.75
ALS,10/19/2017,43.75
ALS,10/26/2017,43.75
ALS,10/30/2017,43.13
ALS,11/1/2017,43.13
ALS,11/3/2017,43.13
ALS,11/6/2017,43.13
ALS,11/10/2017,42.5
ALS,11/13/2017,40.63
ALS,11/14/2017,40.63
ALS,11/22/2017,40
ALS,11/24/2017,40
ALS,11/28/2017,40
ALS,11/29/2017,40
ALS,12/1/2017,41.25
ALS,12/11/2017,38.75
ALS,12/12/2017,38.75
ALS,12/14/2017,40
ALS,12/22/2017,41.25
ALS,12/27/2017,41.25
ALS,12/28/2017,41.25
ALS,1/2/2018,37.5
ALS,1/3/2018,37.53
ALS,1/4/2018,37.5
ALS,1/11/2018,40
ALS,1/19/2018,38.75
ALS,1/22/2018,40.9
ALS,1/23/2018,40.4
ALS,1/24/2018,42
ALS,1/29/2018,42
ALS,1/30/2018,42.5
ALS,2/1/2018,42.5
ALS,2/2/2018,42.5
ALS,2/5/2018,42.5
ALS,2/6/2018,42.5
ALS,2/7/2018,40
ALS,2/9/2018,40
ALS,2/12/2018,40
ALS,2/16/2018,39.38
ALS,2/21/2018,39.38
ALS,2/22/2018,39.38
ALS,2/23/2018,39.38
ALS,2/26/2018,39.38
ALS,2/28/2018,39.38
ALS,3/1/2018,39.38
ALS,3/2/2018,39.38
ALS,3/5/2018,39.38
ALS,3/6/2018,39.38
ALS,3/8/2018,39.38
ALS,3/9/2018,39.38
ALS,3/14/2018,39.38
ALS,3/16/2018,39.38
ALS,3/20/2018,39.38
ALS,3/21/2018,39.38
ALS,3/27/2018,38.75
ALS,4/4/2018,38.75
ALS,4/6/2018,39.38
ALS,4/13/2018,39.38
ALS,4/16/2018,39.38
ALS,4/18/2018,40
ALS,4/23/2018,40
ALS,4/26/2018,40
ALS,4/30/2018,40
ALS,5/3/2018,40
ALS,5/8/2018,36.25
ALS,5/9/2018,36.25
ALS,5/10/2018,36.25
ALS,5/11/2018,36.25
ALS,5/23/2018,35.63
ALS,5/24/2018,35.63
ALS,5/29/2018,37.5
ALS,6/4/2018,37.5
ALS,6/5/2018,37.5
ALS,6/7/2018,37.5
ALS,6/12/2018,37.5
ALS,6/19/2018,37.5
ALS,6/20/2018,35
ALS,6/25/2018,35
ALS,6/26/2018,35
ALS,6/28/2018,35
ALS,7/2/2018,35
ALS,7/4/2018,35
ALS,7/5/2018,35
ALS,7/11/2018,35
ALS,7/20/2018,36.25
ALS,7/23/2018,36.25
ALS,7/24/2018,36.25
ALS,7/25/2018,32.5
ALS,7/26/2018,30
ALS,7/27/2018,30
ALS,7/31/2018,30
ALS,8/3/2018,30
ALS,8/7/2018,27.5
ALS,8/8/2018,27.5
ALS,8/9/2018,28.75
ALS,8/10/2018,25
ALS,8/13/2018,22.6
ALS,8/14/2018,22.5
ALS,8/16/2018,22.5
ALS,8/17/2018,22.5
ALS,8/21/2018,22.5
ALS,8/23/2018,21.25
ALS,8/24/2018,22.5
ALS,8/28/2018,22.5
ALS,8/29/2018,22.5
ALS,8/30/2018,22.5
ALS,8/31/2018,22.5
ALS,9/4/2018,22.5
ALS,9/5/2018,22.5
ALS,9/6/2018,23.25
ALS,9/7/2018,23.25
ALS,9/10/2018,23.25
ALS,9/12/2018,23.25
ALS,9/13/2018,23.25
ALS,9/14/2018,22.5
ALS,9/18/2018,22.5
ALS,9/21/2018,21.25
ALS,9/24/2018,20.5
ALS,9/25/2018,18.75
ALS,9/26/2018,18.75
ALS,9/27/2018,17.25
ALS,10/2/2018,17.25
ALS,10/5/2018,17.25
ALS,10/8/2018,17.25
ALS,10/9/2018,17.25
ALS,10/12/2018,17.25
ALS,10/15/2018,17.5
ALS,10/16/2018,18
ALS,10/17/2018,18.75
ALS,10/18/2018,18.75
ALS,10/19/2018,20
ALS,10/22/2018,20
ALS,10/23/2018,19.5
ALS,10/24/2018,19.5
ALS,10/25/2018,19.5
ALS,10/29/2018,19.5
ALS,10/30/2018,19.5
ALS,11/8/2018,19.5
ALS,11/9/2018,19.5
ALS,11/13/2018,19.5
ALS,11/14/2018,19.5
ALS,11/19/2018,19
ALS,11/20/2018,19
ALS,11/27/2018,18.25
ALS,11/28/2018,19.5
ALS,11/29/2018,19.5
ALS,12/4/2018,20.5
ALS,12/5/2018,18
ALS,12/6/2018,18
ALS,12/7/2018,18
ALS,12/10/2018,18
ALS,12/12/2018,18.75
ALS,12/14/2018,18.75
ALS,12/18/2018,16.5
ALS,12/19/2018,16.5
ALS,12/21/2018,16.25
ALS,12/24/2018,16.75
ALS,12/28/2018,16.25
ALS,12/31/2018,15.6
ALS,1/2/2019,15.5
